cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
566,Nigeria,,Remaining Pop,Zamfara,Naomi,NGA,male,798,931,762,886,2050,1273,1219,1165,1111,1413,1618
748,Swaziland,,Hhohho Region,,Naomi,SWZ,female,,,,,,24851,28665,32514,29835,32999,37189
748,Swaziland,,Hhohho Region,,Naomi,SWZ,male,,,,,,14183,14228,16079,15014,17587,20710
748,Swaziland,,Lubombo Region,,Naomi,SWZ,female,,,,,,16913,20128,20560,22070,22381,23107
748,Swaziland,,Lubombo Region,,Naomi,SWZ,male,,,,,,9000,11622,11877,12485,11757,13103
748,Swaziland,,Manzini Region,,Naomi,SWZ,female,,,,,,34516,40036,35733,39068,43517,46549
748,Swaziland,,Manzini Region,,Naomi,SWZ,male,,,,,,17174,20251,17733,20205,22539,23550
748,Swaziland,,Shiselweni Region,,Naomi,SWZ,female,,,,,,15434,18431,20508,20505,21520,21185
748,Swaziland,,Shiselweni Region,,Naomi,SWZ,male,,,,,,7140,8414,9231,9420,10920,10961
768,Togo,,TOTAL,Centrale,Naomi,TGO,both,,,,,,,,,3403,4054,4255
768,Togo,,POLULATION TOTALE,Kara,Naomi,TGO,both,,,,,,,,,4979,5680,6075
768,Togo,,Pop restante,Lome,Naomi,TGO,both,,,,,,,,,33565,39169,41985
768,Togo,,TOTAL,Maritime sans Lome,Naomi,TGO,both,,,,,,,,,10271,12114,12463
768,Togo,,POPULATION TOTALE,Plateaux,Naomi,TGO,both,,,,,,,,,6918,7501,8206
768,Togo,,TOTAL,Savanes,Naomi,TGO,both,,,,,,,,,1831,1965,2633
834,United Republic of Tanzania,,Central,,Naomi,TZA,female,,,,,,36026,45063,54629,62747,71596,79572
834,United Republic of Tanzania,,Central,,Naomi,TZA,male,,,,,,15264,19038,23400,27682,32788,37581
834,United Republic of Tanzania,,Coastal,,Naomi,TZA,female,,,,,,104392,146819,178162,209401,217019,224384
834,United Republic of Tanzania,,Coastal,,Naomi,TZA,male,,,,,,37905,53702,64933,78716,90585,92918
834,United Republic of Tanzania,,Lake,,Naomi,TZA,female,,,,,,89230,127516,156742,189933,223750,249295
834,United Republic of Tanzania,,Lake,,Naomi,TZA,male,,,,,,41954,59584,75475,94906,119822,135108
834,United Republic of Tanzania,,Northern,,Naomi,TZA,female,,,,,,45190,49728,58367,73975,73664,82454
834,United Republic of Tanzania,,Northern,,Naomi,TZA,male,,,,,,16731,18303,21784,28308,28912,33833
834,United Republic of Tanzania,,Southern Highland,,Naomi,TZA,female,,,,,,109393,147168,175137,196166,213377,230232
834,United Republic of Tanzania,,Southern Highland,,Naomi,TZA,male,,,,,,53961,71116,88417,101144,114308,123241
834,United Republic of Tanzania,,Western,,Naomi,TZA,female,,,,,,7568,12175,16109,20720,22158,24698
834,United Republic of Tanzania,,Western,,Naomi,TZA,male,,,,,,3344,5534,8146,11146,12284,14204
834,United Republic of Tanzania,,Zanzibar,,Naomi,TZA,female,,,,,1339,1510,1808,4360,3932,4392,4548
834,United Republic of Tanzania,,Zanzibar,,Naomi,TZA,male,,,,,518,627,729,1860,1651,1824,1968
834,United Republic of Tanzania,,Dodmoa,,Naomi,TZA,female,,,,,,10190,13466,16015,17579,20179,
834,United Republic of Tanzania,,Dodmoa,,Naomi,TZA,male,,,,,,3758,4757,5806,6366,7558,
834,United Republic of Tanzania,,Arusha,,Naomi,TZA,female,,,,,,10992,12026,13998,18805,17374,
834,United Republic of Tanzania,,Arusha,,Naomi,TZA,male,,,,,,4190,4663,5332,7238,6818,
834,United Republic of Tanzania,,Kilimanjaro,,Naomi,TZA,female,,,,,,12750,14441,16515,20284,20085,
834,United Republic of Tanzania,,Kilimanjaro,,Naomi,TZA,male,,,,,,5270,5691,6679,8346,8409,
